	strong
A1-Placa-E2	0.39333131313131314
A10-Placa-E2	0.3642912280701754
A11-Placa-E2	0.3974519774011299
A12-Placa-E2	0.4146252252252252
A2-Placa-E2	0.37128735632183907
A3-Placa-E1	0.4256666666666667
A3-Placa-E2	0.4040888888888889
A4-Placa-E2	0.35834782608695653
A5-Placa-E2	0.42234308943089427
A6-Placa-E2	0.42183908045977014
A7-Placa-E2	0.4445765690376569
A8-Placa-E2	0.3185123966942149
A9-Placa-E2	0.32745563549160667
B1-Placa-E2	0.3860283687943262
B10-Placa-E2	0.4144314720812182
B11-Placa-E2	0.43942352941176466
B12-Placa-E2	0.34586892655367235
B2-Placa-E1	0.36331578947368426
B2-Placa-E2	0.3641571189279732
B3-Placa-E1	0.34075449101796407
B3-Placa-E2	0.3585907172995781
B4-Placa-E2	0.41665560407569147
B5-Placa-E2	0.42672793834296724
B7-Placa-E2	0.4113809523809524
B8-Placa-E2	0.405074213836478
B9-Placa-E2	0.3606626262626263
C1-Placa-E1	0.42037521815008727
C10-Placa-E2	0.37240000000000006
C11-Placa-E2	0.443952380952381
C12-Placa-E2	0.395425641025641
C2-Placa-E1	0.42966943164362514
C2-Placa-E2	0.36176273291925465
C4-Placa-E2	0.45164402515723273
C5-Placa-E2	0.38029659863945575
C6-Placa-E2	0.33269673202614375
C7-Placa-E2	0.4339740112994351
C8-Placa-E2	0.37102898550724633
C9-Placa-E2	0.38226276150627614
D1-Placa-E1	0.4143333333333334
D10-Placa-E2	0.357451282051282
D11-Placa-E2	0.37959607843137255
D12-Placa-E2	0.3897387808041505
D2-Placa-E1	0.3919446540880503
D2-Placa-E2	0.37299393939393943
D3-Placa-E2	0.416432768361582
D4-Placa-E2	0.4152832080200502
D5-Placa-E2	0.42894937611408207
D6-Placa-E2	0.3231230769230769
D7-Placa-E2	0.4135513227513227
D8-Placa-E2	0.4146074074074074
D9-Placa-E2	0.37793806706114397
E1-Placa-E1	0.38131904761904767
E10-Placa-E2	0.3557623188405797
E11-Placa-E2	0.4129611374407583
E12-Placa-E2	0.36804313725490195
E2-Placa-E1	0.4554333333333333
E2-Placa-E2	0.3628585365853658
E3-Placa-E2	0.36686394557823127
E4-Placa-E2	0.35302988505747124
E5-Placa-E2	0.38333715498938425
E6-Placa-E2	0.4259941747572816
E7-Placa-E2	0.4101119496855346
E8-Placa-E2	0.3782109289617486
E9-Placa-E2	0.35690054644808744
F1-Placa-E1	0.3947677419354839
F1-Placa-E2	0.4067203980099502
F10-Placa-E2	0.3725610738255033
F11-Placa-E2	0.3812440251572327
F12-Placa-E2	0.38246008230452677
F2-Placa-E1	0.34169787234042553
F2-Placa-E2	0.38620904977375564
F3-Placa-E2	0.37186896551724136
F4-Placa-E2	0.3991543859649122
F5-Placa-E2	0.37046965174129354
F6-Placa-E2	0.4281285486443381
F7-Placa-E2	0.36450228310502286
F8-Placa-E2	0.35990264550264556
F9-Placa-E2	0.3977230046948357
G1-Placa-E1	0.4040248756218905
G1-Placa-E2	0.4084314720812182
G10-Placa-E2	0.37399900497512434
G11-Placa-E2	0.39070623885918
G12-Placa-E2	0.36312624113475184
G2-Placa-E1	0.35620484171322164
G2-Placa-E2	0.3322534351145038
G3-Placa-E2	0.35743768115942026
G4-Placa-E2	0.4176
G5-Placa-E2	0.41647189542483665
G6-Placa-E2	0.37010092081031304
G7-Placa-E2	0.3766286298568507
G8-Placa-E2	0.39197241379310344
G9-Placa-E2	0.426831884057971
H1-Placa-E1	0.4028893617021277
H1-Placa-E2	0.3699929078014184
H10-Placa-E2	0.35165850340136057
H11-Placa-E2	0.39607187112763326
H2-Placa-E1	0.3674925566343042
H3-Placa-E2	0.41886666666666666
H4-Placa-E2	0.3923364829396325
H5-Placa-E2	0.39686666666666665
H6-Placa-E2	0.4132954954954955
H7-Placa-E2	0.42400099502487565
H8-Placa-E2	0.3986528735632184
H9-Placa-E2	0.4502150537634409
